ProductID,Name,Category,Description,Price,Stock
60,Coconut Curry Lentil Soup,Food - Canned Goods,"A hearty soup made with lentils, coconut milk, and a blend of spices for a tropical flavor.",3.99,75
61,Classic Pumps,Clothing - Footwear,Elegant classic pumps that add sophistication to any outfit.,64.99,10
62,High-Waisted Skirt,Clothing - Bottoms,"Chic high-waisted skirt, perfect for professional or casual settings.",34.99,40
63,Kale Salad with Lemon Dressing,Food - Salads,"Fresh kale salad with a zesty lemon dressing, great as a side dish.",4.99,96
64,Honey Mustard Pretzel Bites,Food - Snacks,"Delicious pretzel bites with a sweet honey mustard flavor, perfect for dipping.",3.99,152
65,Honey-Balsamic Vinaigrette,Food - Dressing,A sweet and tangy vinaigrette dressing for salads.,3.39,74
66,Electric Ice Cream Maker,Kitchen,Make delicious ice cream at home with this user-friendly machine.,59.99,153
67,Electric Fondue Pot,Kitchen,Set for making fondue at home.,39.99,135
68,Honey Sesame Chicken Mix,Food - Frozen Meals,A meal kit featuring tender chicken with honey sesame sauce.,8.99,146
69,Comfortable Jogger Pants,Clothing - Bottoms,"Relaxed fit joggers made from soft fleece, ideal for lounging or workouts.",29.99,67
70,Herbed Chicken Breast,Food - Meat,"Marinated chicken breast seasoned with herbs, ready for grilling.",7.99,128
71,Pumpkin Spice Muffins,Food - Bakery,Moist and flavorful muffins packed with fall spices and pumpkin puree.,3.99,65
72,Window Blinds,Home,Adjustable window blinds for privacy and light control.,59.99,63
73,Scent Diffuser Oil,Home,Essential oil blends for a soothing atmosphere in your home.,14.99,125
74,Safety Pin Dispenser,Office,Handy dispenser for quick access to safety pins.,5.99,78
75,Waffle Maker,Kitchen,Make delicious waffles with this user-friendly device.,39.99,73
76,Collapsible Water Bottle,Fitness,Space-saving collapsible bottle for outdoor activities.,12.99,199
77,Safety Goggles,Safety,Protective goggles for DIY and construction work.,14.99,213
78,Paint By Numbers Kit,Art Supplies,Relaxing paint kit with pre-printed canvas for painting.,24.99,121
79,Vacuum Sealer Machine,Kitchen,Seal food and maintain freshness longer.,89.99,79
80,Organic Black Rice,Food - Grains,"Nutty and chewy black rice, high in antioxidants.",3.59,134
81,Strawberry Rhubarb Jam,Food - Condiments,"A sweet and tart jam, perfect on toast or in desserts.",4.29,124
82,Kids' Art Easel,Toys,Double-sided art easel for painting and drawing.,58.99,88
83,Coconut Oil Spray,Food - Cooking Oils,A zero-calorie coconut oil spray for cooking and baking.,4.99,161
84,Camping Chair with Cooler,Outdoor,Foldable chair equipped with a cooler pouch.,49.99,-11
85,Honey Mustard Chicken Breasts,Food - Meat,Marinated chicken breasts coated in a sweet honey mustard glaze.,8.99,90
86,Wooden Children's Play Kitchen,Toys,Interactive kitchen set for imaginative play.,129.99,88
87,Ice Cream Maker,Kitchen,Homemade ice cream maker for delicious desserts.,79.99,20
88,Wireless Music Receiver,Audio,Stream music from your device to any speaker wirelessly.,19.99,74
89,Colorful Post-It Notes Set,Office,Variety pack of sticky notes in different colors and sizes.,9.99,82
90,Thai Red Curry Paste,Food - Condiments,Spicy and flavorful curry paste for authentic Thai dishes.,3.99,81
91,Matcha Green Tea Powder,Food - Beverages,High-quality matcha for making traditional tea or lattes.,14.99,114
92,Customizable Wall Calendar,Office,Personalize your calendar with photos and special dates.,24.99,133
93,Gardening Tool Belt,Garden,Convenient belt with pockets for easy access to tools while gardening.,22.99,31
94,Pumpkin Spice Granola,Food - Breakfast,Crunchy granola with pumpkin spice flavor.,4.99,96
95,LED Desk Lamp,Home,Dimmable LED desk lamp with USB charging port.,35,137
96,Hiking Gaiters,Outdoor,Protective gaiters to keep dirt and debris out of shoes during hikes.,29.99,128
97,Pork Chops,Food - Meat,"Tender and juicy pork chops, perfect on the grill.",9.49,90
98,Hiking Gaiters,Outdoor,Protective gaiters to keep dirt and debris out of shoes during hikes.,29.99,146
99,Stainless Steel Mixing Bowls,Kitchen,Set of versatile mixing bowls for cooking.,29.99,30
100,Bluetooth Sleep Headphones,Audio,Comfortable wireless headphones designed for sleeping.,29.99,172
101,Travel Jewelry Organizer,Accessories,Compact storage for your jewelry while traveling.,19.99,-24
102,Fitness Tracker Watch,Wearable Tech,Water-resistant activity tracker and smartwatch features.,79.99,123
103,Decorative Throw Blanket,Home,Soft throw blanket for cozy home decor.,39.99,60
104,Cinnamon Sugar Tortilla Chips,Food - Snacks,"Crispy chips with a sweet twist, perfect for dipping.",3.29,8
105,Caramelized Onion Dip Mix,Food - Snacks,A mix to create a delicious onion dip for parties or snacking.,2.29,114
106,Sweet BBQ Dipping Sauce,Food - Condiments,Perfectly balanced sweet and tangy BBQ sauce for dipping or grilling.,3.49,144
107,Whipped Cream Cheese,Food - Dairy,"Light and fluffy cream cheese, perfect for bagels or cooking.",2.99,165
108,Salsa,Food - Condiments,"Fresh and zesty salsa, perfect for nachos.",3.49,83
109,Coconut Curry Sauce,Food - Sauces,A flavorful sauce made with coconut milk and spices.,3.89,87
110,Digital Photo Frame,Home,Wi-Fi-enabled digital frame for displaying photos.,79.99,131
111,Smartphone UV Sanitizer,Health,UV light sanitizer for phones and small items.,39.99,174
112,Solar Power Bank,Electronics,Eco-friendly power bank that charges via sunlight.,39.99,139
113,Classic Baseball Cap,Clothing - Accessories,A timeless baseball cap that adds a sporty touch to any outfit.,24.99,98
114,Scented Soy Candles,Home,Hand-poured candles made of natural soy wax.,19.99,91
115,Comfortable Jogger Pants,Clothing - Bottoms,"Relaxed fit joggers made from soft fleece, ideal for lounging or workouts.",29.99,12
116,Heart-Shaped Baking Molds,Kitchen,Love-themed molds for creating desserts and treats.,10.99,72
117,Customizable Photo Calendar,Books,Personalized calendar with your favorite photos.,19.99,55
118,Pepper Jack Cheese Sticks,Food - Snacks,"A spicy, flavorful cheese stick great for snacks or lunchboxes.",2.49,133
119,Essential Oil Diffuser,Health,Ultrasonic diffuser that helps create a calming atmosphere.,34.99,99
120,Aeropress Coffee Maker,Kitchen,Portable coffee maker for rich brews on the go.,29.99,81
121,Smartphone Tripod with Bluetooth Remote,Photography,Tripod with wireless remote for effortless photo-taking.,29.99,197
122,Cabbage,Food - Produce,"Fresh green cabbage, great for salads and slaws.",1.29,102
123,Fresh Basil,Food - Produce,"Aromatic fresh basil, perfect for Italian cooking.",1.99,40
124,Fresh Cilantro,Food - Produce,"Bright and fragrant cilantro, great for garnishes.",1.49,108
125,Mango Chunks,Food - Frozen Fruits,Frozen mango chunks for smoothies or snacking.,4.89,109
126,Overnight Hiking Backpack,Outdoor,Durable backpack with ample storage for outdoor adventures.,79.99,3
127,Folding Pocket Knife,Tools,Compact knife with safety lock for everyday use.,24.99,140
128,Pasta Sauce Mix,Food - Sauces,Just add water for a quick pasta sauce.,1.29,205
129,Essential Oil Roller Bottles,Health,Set of roller bottles for blending and applying essential oils.,19.99,114
130,Pretzel Bites,Food - Snacks,"Soft pretzel bites, perfect for dipping in mustard or cheese sauce.",4.99,42
131,Foam Roller for Muscle Recovery,Fitness,Use this foam roller for effective post-workout recovery.,29.99,107
132,Baking Powder,Food - Baking Goods,Essential ingredient for baking fluffy cakes and pastries.,1.79,60
133,Greek Yogurt,Food - Dairy,Creamy Greek yogurt packed with protein and probiotics.,1.99,99
134,Leek and Potato Soup,Food - Soups,Savory soup made with leeks and potatoes.,3.29,127
135,Beef Taco Skillet,Food - Meal Kits,A convenient meal kit for making a delicious beef taco skillet at home.,8.49,146
136,Compact Dishwasher,Home Appliances,Countertop dishwasher for small kitchens.,299.99,113
137,Dog Waste Bag Dispenser,Pets,Convenient dispenser for dog waste bags on walks.,6.99,118
138,Fishing Rod,Outdoor,Lightweight fishing rod suitable for beginners.,49.99,99
139,Pecan Pie Filling,Food - Baking Goods,Sweet and nutty filling for delicious homemade pecan pie.,3.99,15
140,Vegan Mac & Cheese,Food - Frozen,Creamy vegan mac and cheese made with cashew cheese.,8.99,115
141,Almond Coconut Granola,Food - Breakfast Foods,Crunchy granola with almonds and coconut.,3.99,72
142,Kids' Science Experiment Kit,Toys,Engaging kit with science experiments for children.,29.99,91
143,Pet Hair Removal Roller,Pets,Lint roller designed specifically for removing pet hair from furniture.,10.99,141
144,Vegetable Spiralizer,Kitchen,Create spiraled vegetable noodles easily for healthy meals.,19.99,75
145,Mango Chilli Sauce,Food - Condiments,A sweet and spicy sauce for dipping or glazing.,3.99,-41
146,Almond Joy Protein Bars,Food - Snacks,Chocolate coconut protein bars inspired by the classic candy bar.,1.99,23
147,Siphon Coffee Maker,Kitchen,Unique coffee brewing method for a flavorful experience.,49.99,95
148,Magnetic Curtain Tiebacks,Home,Easy-to-use tiebacks for curtains or drapes.,12.99,74
149,Rice Cakes,Food - Snacks,"Light and crispy rice cakes, a perfect low-calorie snack.",2.29,94
150,Vanilla Ice Cream,Food - Frozen Foods,"Creamy and rich vanilla ice cream, a classic dessert.",4.99,146
151,Eco-Friendly Disposable Plates,Kitchen,Compostable plates suitable for various occasions.,22.99,12
152,Veggie Lovers Pizza,Food - Frozen Foods,Frozen pizza loaded with fresh vegetables and mozzarella cheese.,8.99,-20
153,Sweet Potato and Chickpea Bowl,Food - Frozen Food,A nourishing bowl of sweet potatoes and chickpeas with spices.,6.49,-17
154,Reversible Comforter Set,Home,Soft comforter set for a cozy bedroom look.,89.99,88
155,Weighted Jump Rope with Counter,Fitness,Jump rope that counts your jumps for tracking workouts.,14.99,88
156,Home Karaoke System,Audio,Complete karaoke system with microphones and speakers.,129.99,113
157,Spaghetti Squash,Food - Produce,Low-carb vegetable for pasta alternatives.,3.99,85
158,Field Journal,Books,Durable journal for nature observations and notes.,14.99,41
159,Surimi Crab Sticks,Food - Seafood,"Synthetic crab meat sticks, great for salads and sushi.",4.19,144
160,Beef Stroganoff Meal Kit,Food - Frozen Meals,Complete meal kit with everything needed to make beef stroganoff in under 30 minutes.,12.99,90
161,Pepper Jack Cheese Sticks,Food - Snacks,"A spicy, flavorful cheese stick great for snacks or lunchboxes.",2.49,74
162,Lentil Soup (canned),Food - Canned Goods,Hearty lentil soup for a quick meal.,1.99,70
163,Oven Mitts with Pocket,Kitchen,Silicone oven mitts designed for safe cooking and baking.,19.99,48
164,Ethically-Sourced Coffee Beans,Food - Beverages,Freshly roasted coffee beans with rich flavor.,9.99,138
165,Electric Fondue Pot,Kitchen,Set for making fondue at home.,39.99,127
166,Gardening Tool Belt,Garden,Convenient belt with pockets for easy access to tools while gardening.,22.99,150
167,Classic Watch,Accessories,Timeless analog watch with a leather strap.,99.99,93
168,Blueberry Muffin Mix,Food - Baking,Make delightful blueberry muffins at home with this easy mix.,4.29,100
169,Electric Griddle with Removable Plates,Kitchen,Non-stick surface for easy cooking and cleaning.,59.99,114
170,Dark Chocolate Raisins,Food - Snacks,Juicy raisins coated in rich dark chocolate.,3.49,128
171,Pesto Genovese,Food - Condiments,Traditional basil pesto made with extra virgin olive oil.,6.49,128
172,Travel Size Toiletry Bottles,Travel,Leak-proof bottles for travel-sized toiletries.,9.99,89
173,Outdoor Mosquito Repellent Lantern,Outdoor,Lantern that repels mosquitoes while providing light.,34.99,81
174,Mediterranean Couscous Salad,Food - Salads,"Couscous salad with cucumbers, tomatoes, feta, and olives, ready to eat.",5.49,11
175,Salsa,Food - Condiments,"Fresh and zesty salsa, perfect for nachos.",3.49,205
176,Mushrooms,Food - Produce,"Fresh button mushrooms, great for cooking.",2.99,77
177,Zucchini Noodles,Food - Vegetables,"Spiralized zucchini, a healthy alternative to pasta.",3.99,122
178,Magnetic Spice Containers,Kitchen,Set of magnetic jars for convenient spice organization.,24.99,33
179,Kitchen Scale,Kitchen,Digital scale for precise cooking measurements.,19.99,159
180,Toilet Paper (12 rolls),Food - Household,Soft and strong toilet paper for everyday use.,8.99,27
181,Dried Fruit Medley,Food - Snacks,A delightful mix of dried fruits for trail mix or snacks.,5.49,89
182,Sweet Corn Fritters,Food - Frozen,Golden-brown fritters made with sweet corn.,4.49,95
183,Sweet and Spicy Barbecue Sauce,Food - Condiments,A flavorful barbecue sauce with a sweet and spicy kick.,3.99,93
184,LED Flashlight,Outdoor,Bright LED flashlight with adjustable beam.,19.99,109
185,Car Vacuum,Automotive,Portable car vacuum cleaner with strong suction.,49.99,63
186,Car Escape Tool,Automotive,Multi-functional tool for emergency situations in the car.,12.99,144
187,Portable Jump Starter,Automotive,Compact jump starter for emergency vehicle starts.,59.99,136
188,Vegan Mayonnaise,Food - Condiments,Plant-based mayonnaise for a creamy taste.,4.49,107
189,Lentil Vegetable Stew,Food - Canned Soups,"Hearty stew made with lentils and mixed vegetables, vegan-friendly.",4.49,-3
190,Organic Coconut Water,Food - Beverages,Refreshing coconut water packed with electrolytes for hydration.,2.79,114
191,Graphic Print Leggings,Clothing - Activewear,"Trendy leggings with a unique graphic print, versatile for workouts and casual wear.",29.99,209
192,LED Desk Lamp with USB Charging Port,Office,Modern lamp featuring a USB port for convenient charging.,29.99,144
193,Eco-Friendly Stainless Steel Straws,Kitchen,Reusable straws that come with a cleaning brush.,12.99,120
194,Peach Fruit Cups,Food - Snacks,"Juicy peach slices in light syrup, in convenient cups.",1.99,130
195,Cinnamon Apple Sauce,Food - Canned Goods,Delicious apple sauce with a hint of cinnamon,2.49,79
196,Caramelized Onion Dip,Food - Dairy,"Creamy dip made with caramelized onions, perfect for chips or veggies.",3.99,98
197,Ginger Tea,Food - Beverages,A soothing herbal tea made from ginger root.,4.99,109
198,Noise Cancelling Ear Muffs,Safety,Ear protection for shooting and industrial use.,24.99,120
199,Wireless Induction Charger,Electronics,Qi-certified charger for fast wireless charging of smartphones.,19.99,136
200,Compact Folding Table,Outdoor,Versatile folding table great for events or outdoor activities.,49.99,73
201,Portable Phone Charger,Accessories,High-capacity power bank for charging devices on the go.,29.99,88
202,V-Neck Sweater,Clothing - Tops,Classic V-neck sweater crafted from soft wool for warmth and style.,49.99,78
203,Honey Graham Crackers,Food - Snacks,Sweet and crunchy honey-flavored graham crackers.,3.29,212
204,Baby Safety Corner Guards,Baby,Soft corner protectors to keep babies safe at home.,9.99,113
205,Spice Rack,Kitchen,Rotating spice rack with 20 spice jars.,39.99,117
206,Non-Stick Grill Mat,Outdoor,Reusable mat that prevents food from sticking to the grill.,19.99,43
207,Tattoo Kit,Art Supplies,Complete tattoo kit for beginners and professionals.,99.99,20
208,Handcrafted Wooden Jewelry Box,Accessories,Beautifully crafted jewelry box with compartments for storage.,39.99,101
209,Vegetable Lasagna,Food - Frozen Foods,"Layers of pasta, veggies, and cheese baked to perfection.",6.99,122
210,Frozen Cauliflower Rice,Food - Frozen Foods,Convenient and low-carb alternative to traditional rice.,2.99,36
211,Fashionable Fanny Pack,Clothing - Accessories,"A trendy fanny pack, perfect for hands-free outings.",24.99,124
212,Zucchini Noodles,Food - Vegetables,"Spiralized zucchini, a healthy alternative to pasta.",3.99,47
213,Cinnamon Sugar Donuts,Food - Bakery,Delicious mini donuts dusted with cinnamon sugar.,4.99,90
214,Classic Pesto Sauce,Food - Sauces,"Fresh basil pesto, perfect for pasta or as a sandwich spread.",4.29,74
215,Fitness Jump Box,Fitness,Durable and adjustable jump box for effective workouts.,69.99,87
216,Savory Snack Mix,Food - Snacks,"A mix of nuts, pretzels, and crackers, seasoned just right for snacking.",4.49,158
217,Chickpea Pancakes,Food - Frozen,"Savory pancakes made with chickpea flour, high in protein.",4.99,128
218,Paint By Numbers Kit,Art Supplies,Relaxing paint kit with pre-printed canvas for painting.,24.99,142
219,Chili Lime Shrimp,Food - Seafood,"Frozen shrimp seasoned with chili and lime, perfect for quick dinners.",8.99,85
220,Cushion Covers,Home,Set of decorative cushion covers for home decor.,35,133
221,Ribbed Knit Dress,Clothing - Dresses,A fitted ribbed knit dress that hugs your curves perfectly.,59.99,97
222,Smartphone UV Sanitizer,Health,UV light sanitizer for phones and small items.,39.99,16
223,Cookbook,Books,Inspiring cookbook with healthy recipes.,27.99,176
224,Diced Tomatoes (canned),Food - Canned Goods,"Canned diced tomatoes, great base for sauces and soups.",1.49,130
225,Teriyaki Chicken Bowl,Food - Prepared Meals,Ready-to-eat chicken bowl with teriyaki sauce and rice.,6.49,71
226,USB Flash Drive,Storage,32GB USB flash drive with fast data transfer speeds.,9.99,83
227,Fitness Tracker,Fitness,"Track steps, heart rate, and sleep patterns.",49.99,53
228,Electric Opener for Jars and Bottles,Kitchen,Easily opens jar lids and bottle caps with one touch.,24.99,34
229,Maple Pecan Oatmeal Cookies,Food - Bakery,Soft oatmeal cookies with maple and pecans.,3.99,136
230,Pasta Portion Control Measure,Kitchen,Tool for measuring perfect pasta portions every time.,9.99,21
231,Asian Stir-Fry Kit,Food - Frozen Meals,Prepped vegetables and sauces for a quick Asian stir-fry meal.,5.49,106
232,Mango Chia Pudding,Food - Snacks,Healthy chia pudding made with mango and coconut milk.,4.49,95
233,Homestyle Beef Stew,Food - Canned Soups,"Hearty beef stew with vegetables, ready to heat and serve.",7.99,73
234,Pasta (Linguine),Food - Pasta,"Thin, flat pasta perfect for various sauces.",1.89,45
235,Sesame Garlic Stir-Fry Sauce,Food - Sauces,A flavorful sauce for stir-frying vegetables and meats.,2.79,106
236,Sesame Garlic Noodles,Food - Pasta,Delicious noodles tossed in a sesamegarlic sauce.,3.49,58
237,Quinoa & Black Bean Salad,Food - Salads,A nutritious salad with quinoa and black beans,7.49,126
238,Chili Garlic Sauce,Food - Condiments,"Spicy sauce made with chili peppers and garlic, great for stir-frying.",2.49,108
239,Cranberry Juice,Food - Beverages,Refreshing cranberry juice with no added sugar.,3.69,151
240,Surimi Crab Sticks,Food - Seafood,"Synthetic crab meat sticks, great for salads and sushi.",4.19,75
241,Nutty Trail Mix,Food - Snacks,"A blend of nuts, seeds, and dried fruits for snacking.",4.29,149
242,Wine Decanter,Home,Elegant glass decanter for aerating wine.,34.99,78
243,Cold Brew Coffee Maker,Kitchen,Brews coffee with a smooth flavor without bitterness.,34.99,55
244,Adjustable Yoga Mat Strap,Fitness,Convenient strap for carrying yoga mats to class.,14.99,90
245,Classic Watch,Accessories,Timeless analog watch with a leather strap.,99.99,74
246,Honey Almond Granola Bars,Food - Snacks,Chewy granola bars made with honey and almonds.,3.99,123
247,Mushrooms,Food - Produce,"Fresh button mushrooms, great for cooking.",2.99,53
248,Sweet Potatoes (organic),Food - Vegetables,"Fresh organic sweet potatoes, great for roasting or mashing.",1.99,149
249,Asian Salad Mix,Food - Produce,Fresh greens and veggies for a quick Asian-inspired salad.,3.99,111
250,Mushrooms,Food - Produce,"Fresh button mushrooms, great for cooking.",2.99,153
251,Wireless Earbud Silicone Covers,Accessories,Soft silicone earbud covers for comfort and fit.,9.99,44
252,Portable Hammock,Outdoor,Lightweight hammock for easy setup anywhere.,27.99,146
253,Vegetable Stir-Fry Kit,Food - Produce,"A mix of fresh vegetables with a savory stir-fry sauce, ready to cook.",6.99,50
254,Eco-Friendly Yoga Mat,Fitness,Made from biodegradable materials for eco-conscious yogis.,39.99,73
255,Arcade Game Machine,Gaming,Retro arcade machine for classic gaming.,299.99,60
256,Faux Fur Coat,Clothing - Coats,A luxurious faux fur coat that adds glamour to any outfit.,129.99,48
257,Lightweight Travel Backpack,Travel,Compact and portable backpack for day trips and travel.,39.99,129
258,Peach Fruit Cups,Food - Snacks,"Juicy peach slices in light syrup, in convenient cups.",1.99,113
259,Peanut Butter Pretzel Bites,Food - Snacks,Crunchy pretzel bites filled with peanut butter,4.19,37
260,Herb Seasoned Croutons,Food - Salad Toppings,Crunchy croutons with a blend of herbs for salads.,2.99,47
261,Multi-Tool,Outdoor,Versatile multi-tool with 15 different functions.,39.99,100
262,Oven Mitts with Pocket,Kitchen,Silicone oven mitts designed for safe cooking and baking.,19.99,89
263,USB Wall Charger,Accessories,Multiple USB ports for charging devices simultaneously.,19.99,110
264,Wireless Security System,Home Security,Comprehensive camera and alert system for home security.,299.99,132
265,Phone Screen Protector,Accessories,Tempered glass screen protector for smartphones.,12.99,67
266,Classic Vanilla Fudge,Food - Desserts,"Creamy vanilla fudge, a sweet treat for all occasions.",4.49,128
267,Tabletop Fire Pit,Outdoor,Compact and stylish indoor/outdoor fire pit for ambiance.,79.99,126
268,LED Strip Lights,Home,Colorful LED strip lights for home decoration.,19.99,73
269,Italian Breadsticks,Food - Bakery,Crispy breadsticks seasoned with herbs and garlic.,2.49,86
270,Balsamic Salad Dressing,Food - Deli,"Tangy and sweet balsamic dressing, perfect for salads.",2.99,94
271,Organic Coconut Water,Food - Beverages,Refreshing coconut water packed with electrolytes for hydration.,2.79,129
272,Organic Quinoa,Food - Grains,Nutritious organic quinoa for salads or sides,4.29,30
273,Buffalo Style Cauliflower Bites,Food - Frozen Vegetables,"Frozen cauliflower bites coated in spicy buffalo sauce, ready to bake and enjoy as an appetizer.",5.49,193
274,Organic Cereal Bars,Food - Snacks,Healthy snack bars packed with oats and fruit.,4.29,81
275,Organic Sweet Potatoes,Food - Produce,"Fresh and organic sweet potatoes, ideal for roasting.",1.99,123
276,Coconut Rice,Food - Frozen,Fluffy rice cooked with coconut milk for a tropical twist.,2.29,60
277,Ricotta Cheese,Food - Dairy,"Creamy ricotta cheese, great for cooking or making desserts.",4.99,21
278,Multi-Purpose Plant Care Tool,Garden,"All-in-one tool for measuring soil moisture, light, and pH.",24.99,68
279,Coconut Cream,Food - Baking & Cooking,"Rich cream extracted from coconut milk, ideal for desserts.",2.99,185
280,Sweet Cherry Tomatoes,Food - Produce,Fresh and juicy cherry tomatoes for salads and snacking.,2.99,72
281,Diced Tomatoes (canned),Food - Canned Goods,"Canned diced tomatoes, great base for sauces and soups.",1.49,119
282,Peach Mango Smoothie,Food - Beverages,A refreshing blend of peaches and mangoes for a delicious smoothie.,3.49,43
283,Magnetic Spice Jars,Kitchen,Convenient magnetic jars for easy spice storage.,24.99,45
284,Snack Container Set,Kitchen,Stackable containers for organizing snacks and treats.,19.99,147
285,Digital Camera,Electronics,Compact digital camera with 20MP resolution.,299.99,119
