ProductID,Name,Category,Description,Price,Stock
53,Wild Rice Pilaf,Food - Grains,"A mix of wild rice with herbs and spices, ready to serve.",3.79,91
54,Samsung Galaxy Smartwatch,Wearable Tech,Stylish smartwatch with fitness tracking and notifications.,249.99,81
55,Kettle Corn Popcorn,Food - Snacks,"Sweet and salty kettle corn, perfect for snacking.",2.99,87
56,Inspirational Wall Art,Home,Quote wall art to inspire and motivate.,24.99,40
57,Outdoor Sports Backpack,Outdoor,Durable backpack designed for hiking and outdoor excursions.,49.99,89
58,Leek and Potato Soup,Food - Soups,Savory soup made with leeks and potatoes.,3.29,72
59,Salsa Verde,Food - Condiments,"Tangy green salsa made with tomatillos, perfect for tacos.",3.49,50
60,Air Fryer Oven,Kitchen,"Versatile air fryer that also roasts, bakes, and broils.",149.99,44
61,Jalapeño Cornbread,Food - Bakery,Spicy cornbread infused with jalapeños for a kick of flavor at your next meal.,3.29,62
62,Reusable Produce Bags Set,Kitchen,Eco-friendly mesh bags for shopping produce at the market.,14.99,2
63,Travel Jewelry Case,Accessories,Portable case to organize and protect jewelry on trips.,24.99,24
64,Fashionable Scarves Set,Clothing,Stylish scarves to accessorize any outfit.,24.99,16
65,Lemon Pepper Seasoning,Food - Seasonings,A zesty seasoning for meats and vegetables,3.29,11
66,Dog Car Seat Cover,Pets,Waterproof cover to protect car seats from pet hair and dirt.,39.99,60
67,Herbed Goat Cheese,Food - Cheese,"Tangy goat cheese infused with herbs, perfect for snacking.",5.49,69
68,Cotton Pajama Set,Clothing - Loungewear,Soft cotton pajama set for cozy nights in.,49.99,53
69,Personalized Pet ID Tags,Pets,Custom engraved ID tags for pets with your contact information.,9.99,16
70,Eco-Friendly Yoga Mat,Fitness,Made from biodegradable materials for eco-conscious yogis.,39.99,12
71,Vegetarian Stir Fry Sauce,Food - Condiments,Flavorful sauce perfect for stir-frying vegetables and tofu.,2.49,10
72,Sweet Chili Sauce,Food - Condiments,"A sweet and spicy sauce, great for dipping or cooking.",2.99,50
73,Peanut Butter Banana Smoothie Mix,Food - Beverages,"Smoothie mix combining peanut butter and banana, great for a quick breakfast.",4.49,49
74,Scented Candle Set,Home,Set of soothing scented candles for relaxation and ambiance.,24.99,67
75,Peach Green Tea,Food - Beverages,"Refreshing green tea infused with peach, perfect for a hot day.",3.49,88
76,Underwater Camera,Photography,Waterproof camera for capturing underwater adventures.,199.99,97
77,Classic Slim Fit Shirt,Clothing - Shirts,A tailored slim fit shirt for a polished look at work.,49.99,99
78,Lasagna Noodles,Food - Pasta,Wide pasta sheets for making lasagna.,1.89,11
79,Children's Art Set,Toys,All-in-one art set for kids to unleash creativity.,34.99,65
80,USB Wall Charger,Accessories,Multiple USB ports for charging devices simultaneously.,19.99,91
81,Compact Umbrella,Accessories,Portable and lightweight umbrella for protection from rain.,12.99,51
82,Rice Pilaf Mix,Food - Grains,Quick and easy rice pilaf mix for side dishes.,2.59,94
83,Greek Feta Cheese,Food - Dairy,Creamy and crumbly cheese for salads and dishes.,4.99,12
84,Pistachios,Food - Nuts,"Roasted pistachios, a healthy and tasty snack.",6.99,55
85,Tailored Blazer,Clothing - Outerwear,Sharp tailored blazer perfect for office wear and professional events.,99.99,59
86,Adjustable Standing Desk,Office,Ergonomic desk that adjusts height for standing or sitting.,299.99,31
87,Whole Grain Cereal,Food - Breakfast,"Healthy whole grain cereal, great for breakfast.",3.49,19
88,Foam Roller for Muscle Recovery,Fitness,Use this foam roller for effective post-workout recovery.,29.99,73
89,Rustic Italian Bread,Food - Bakery,"Freshly baked rustic bread, perfect for sandwiches or dipping in olive oil.",3.59,71
90,Handmade Wooden Utensil Set,Kitchen,Unique handcrafted utensils for cooking and serving.,24.99,49
91,Balsamic Glaze,Food - Condiments,Sweet and tangy balsamic reduction for drizzling.,4.79,10
92,Chickpea Salad,Food - Prepared Foods,A ready-to-eat salad made with chickpeas and veggies.,5.49,2
93,Trainers with Mesh Inserts,Clothing - Footwear,Comfortable trainers with mesh inserts for breathability.,69.99,51
94,Lemon Herb Quinoa,Food - Grains,"Fluffy quinoa mixed with lemon zest and herbs, a perfect side.",3.49,48
95,Carrot Sticks,Food - Produce,"Freshly cut carrot sticks, perfect for snacking.",2.49,63
96,Air Purifier,Home,HEPA air purifier for clean indoor air.,129.99,32
97,Italian Marinara Sauce,Food - Sauces,"Classic marinara sauce for pasta, pizza, or dipping.",3.29,97
98,Wooden Blocks,Toys,Classic wooden building blocks for toddlers.,24.99,14
99,Portable Refrigerator Freezer,Outdoor,Compact fridge ideal for camping and road trips.,299.99,11
100,Cookbook,Books,Inspiring cookbook with healthy recipes.,27.99,36
101,Fresh Basil Pesto,Food - Sauces,"A fresh, flavorful basil pesto for pasta and more",4.79,53
102,Chicken Breasts,Food - Meat,Juicy and tender boneless chicken breasts.,9.99,18
103,Lemon Sorbet,Food - Frozen Desserts,Refreshing sorbet with a zesty lemon flavor.,4.99,48
104,Bamboo Bathtub Caddy,Home,"Expandable caddy for holding books, phones, and snacks while in the bath.",34.99,3
105,Adjustable Laptop Desk,Office,Portable desk that can be adjusted for sitting or standing.,59.99,16
106,Garden Hose Reel,Garden,Compact hose reel to keep your garden tidy.,49.99,98
107,Beef Chili,Food - Canned Goods,"Hearty beef chili, ready to heat and eat.",4.5,80
108,Mini Projector,Electronics,Portable projector with 1080p resolution for movies.,169.99,43
109,Cookbook,Books,Inspiring cookbook with healthy recipes.,27.99,36
110,Plant-Based Meal Prep Containers,Kitchen,Eco-friendly meal prep containers for healthy eating.,18.99,10
111,Wooden Puzzle Game,Toys,Classic wooden puzzle game for kids and adults.,14.99,58
112,Magnetic Phone Car Mount,Automotive,Strong magnetic holder for smartphones in cars.,14.99,43
113,Smoked Salmon,Food - Seafood,"Deliciously smoked salmon, great for bagels.",14.99,63
114,Foam Roller for Muscle Recovery,Fitness,Use this foam roller for effective post-workout recovery.,29.99,39
115,Kids' Craft Supplies Set,Toys,Variety pack of craft supplies for kids' projects.,24.99,64
116,Decorative Throw Pillows,Home,Set of stylish throw pillows for home decor.,29.99,1
117,Vegan Mac & Cheese,Food - Frozen,Creamy vegan mac and cheese made with cashew cheese.,8.99,1
118,Home Delivery Food Journal,Health,Track your meals and nutrition with this handy food journal.,14.99,22
119,Mini Hand Gesture Drone,Toys,Toy drone that flies with gestures and is easy to control.,29.99,42
120,Multi-Function Meat Tenderizer,Kitchen,Kitchen tool for tenderizing meat to enhance flavors.,19.99,70
121,Body Pillow Case,Home,Soft and breathable pillowcase for body pillows.,14.99,61
122,Adjustable Garden Rake,Garden,Heavy-duty rake with adjustable width for different gardening needs.,22.99,33
123,Organic Italian Seasoning,Food - Spices,A blend of dried herbs commonly used in Italian cooking.,2.99,78
124,Apple Pie Filling,Food - Canned Goods,"Sweet and spiced apple filling, perfect for pies.",3.49,98
125,Dog Training Collar,Pets,Rechargeable training collar for effective behavior training.,39.99,2
126,Portable Camping Stove,Outdoor,Compact camp stove for outdoor cooking.,49.99,80
127,Spicy Tuna Rolls,Food - Seafood,"The perfect seafood snack, ready to eat and delicious.",6.49,33
128,Compact Umbrella,Accessories,Portable and lightweight umbrella for protection from rain.,12.99,69
129,Nutty Trail Mix,Food - Snacks,"A blend of nuts, seeds, and dried fruits for snacking.",4.29,18
130,Personalized Cutting Board,Kitchen,Custom cutting board made from high-quality wood.,34.99,29
131,Cilantro Lime Rice,Food - Grains,"Easy-to-prepare rice with cilantro and lime flavors, great as a side.",2.99,97
132,Trail Mix (Deluxe),Food - Snacks,"A delightful mix of nuts, fruit, and chocolate.",4.59,15
133,Multi-Layer Food Steamer,Kitchen,Stackable steamers for healthy cooking of vegetables and seafood.,39.99,3
134,Organic Tomato Soup,Food - Canned Goods,Hearty tomato soup made from organic ingredients.,3.79,70
135,Nutty Quinoa Salad,Food - Salads,"A delicious salad with quinoa, nuts, and cranberries.",4.99,71
136,Chili Garlic Sauce,Food - Condiments,"Spicy sauce made with chili peppers and garlic, great for stir-frying.",2.49,35
137,Infrared Thermometer Gun,Health,Non-contact thermometer for quick and easy temperature readings.,29.99,91
138,Air Mattress,Outdoor,Inflatable air mattress for convenient sleeping.,49.99,91
139,Video Camera,Electronics,1080p HD video camera with night vision.,199,14
140,Coconut Granola,Food - Snacks,Crunchy granola mixed with coconut flakes.,4.19,72
141,Ricotta Cheese,Food - Dairy,"Creamy ricotta cheese, great for cooking or making desserts.",4.99,86
142,Heart-Shaped Baking Molds,Kitchen,Love-themed molds for creating desserts and treats.,10.99,59
143,Dish Rack,Kitchen,Collapsible dish rack for kitchen countertop use.,24.99,88
144,Cinnamon Sugar Popcorn,Food - Snacks,Sweet popcorn coated in a mixture of cinnamon and sugar.,2.89,57
145,Buffalo Style Cauliflower Bites,Food - Frozen Vegetables,"Frozen cauliflower bites coated in spicy buffalo sauce, ready to bake and enjoy as an appetizer.",5.49,50
146,Pineapple Coconut Rice Mix,Food - Grains,A flavorful blend of rice with tropical pineapple and coconut flavors.,3.99,82
147,LED Disco Ball Light,Home,Fun light that creates a disco atmosphere for parties.,19.99,62
148,LED Makeup Mirror,Beauty,Illuminated vanity mirror with adjustable brightness settings.,39.99,24
149,Educational STEM Kit,Toys,Hands-on experience with science and engineering projects.,35.99,8
150,Coconut Granola,Food - Snacks,Crunchy granola mixed with coconut flakes.,4.19,44
151,Graphic Tee,Clothing,Soft cotton graphic tee available in various designs.,19.99,96
152,Classic Pumps,Clothing - Footwear,Elegant classic pumps that add sophistication to any outfit.,64.99,27
153,Quinoa Salad,Food - Prepared Foods,"A nutritious quinoa salad with veggies and dressing, ready-to-eat.",5.99,68
154,Electric Milk Frother,Kitchen,Handheld frother for creating frothed milk for coffee.,19.99,26
155,Dog Walking Waist Pack,Pets,Hands-free waist pack for carrying essentials while walking your dog.,19.99,83
156,Faux Fur Coat,Clothing - Coats,A luxurious faux fur coat that adds glamour to any outfit.,129.99,61
157,Protein Pancake Mix,Food - Breakfast,A protein-packed pancake mix for a nutritious breakfast.,3.99,18
158,Spicy Roasted Nuts,Food - Snacks,"A mix of nuts roasted with spicy seasonings, perfect for snacking.",4.99,84
159,Organic Almonds,Food - Nuts,"Crunchy and nutritious almonds, perfect for snacking.",8.99,83
160,Cinnamon Roll Kit,Food - Baking,Everything you need to make melt-in-your-mouth cinnamon rolls at home.,6.89,84
161,Whipped Cream Cheese,Food - Dairy,"Light and fluffy cream cheese, perfect for bagels or cooking.",2.99,30
162,Dried Apricots,Food - Dried Fruits,"Sweet, chewy dried apricots, great for snacking or baking.",3.79,11
163,Mini Waffle Maker,Kitchen,Compact waffle maker for perfect small waffles.,24.99,45
164,Teriyaki Sauce,Food - Condiments,Sweet and savory sauce for marinating and glazing meats or vegetables.,2.99,14
165,Golf Putting Green,Sports,Indoor putting green for practicing your putting skills.,79.99,13
166,Toilet Paper (12 rolls),Food - Household,Soft and strong toilet paper for everyday use.,8.99,75
167,Dish Rack,Kitchen,Collapsible dish rack for kitchen countertop use.,24.99,11
168,Kids' Art Easel,Toys,Double-sided art easel for painting and drawing.,58.99,73
169,Caramelized Onion Dip Mix,Food - Snacks,A mix to create a delicious onion dip for parties or snacking.,2.29,93
170,Steak Seasoning Rub,Food - Spices,A blend of spices perfect for seasoning steak.,2.49,7
171,Organic Coconut Flakes,Food - Baking,Unsweetened coconut flakes for baking and snacking.,3.49,3
172,Luxury Rolling Makeup Case,Beauty,Stylish and spacious case for makeup and beauty products.,99.99,97
173,Essential Oils Diffuser Necklace,Health,Wearable diffuser for scenting your space and body.,19.99,35
174,Wireless Gaming Mouse,Gaming,Ergonomic mouse designed for gamers with high DPI.,39.99,66
175,Wooden Children's Play Kitchen,Toys,Interactive kitchen set for imaginative play.,129.99,26
176,Faux Fur Throw Blanket,Home,Cozy faux fur blanket to add warmth and style to your home.,39.99,67
177,Travel Orthopedic Pillow,Travel,Supportive pillow that provides comfort while traveling.,24.99,20
178,Memory Foam Pillow,Home,Ergonomic memory foam pillow for better sleep.,39.99,51
179,Fall-Themed Table Runner,Home,Decorative table runner perfect for autumn gatherings.,19.99,67
180,Apple Cinnamon Oatmeal,Food - Breakfast,Warm oatmeal flavored with apple and cinnamon.,2.89,17
181,Basil Tomato Soup,Food - Canned Soups,"Rich tomato soup flavored with fresh basil, ready to heat up.",2.99,57
182,Sliced Turkey Breast,Food - Deli Meats,"Oven-roasted sliced turkey, perfect for sandwiches.",5.49,82
183,Pasta Maker Machine,Kitchen,Manual pasta maker for creating fresh pasta at home.,59.99,57
184,Organic Coconut Flour,Food - Baking,Finely ground flour from dried coconut meat.,5.49,15
185,Organic Baby Spinach,Food - Produce,"Fresh baby spinach leaves, great for salads and smoothies.",2.99,94
186,Spicy Thai Chili Sauce,Food - Sauces,A sweet and spicy sauce for dipping or cooking.,3.29,11
187,Wireless Charging Station,Electronics,Charge multiple devices with this sleek charging station.,39.99,39
188,Honey Roasted Chickpeas,Food - Snacks,Crispy chickpeas roasted with honey for a sweet and satisfying snack.,3.29,57
189,Mini Air Hockey Table,Toys,Fun tabletop air hockey for home or office.,39.99,59
190,Smartphone Photography Tripod,Electronics,Lightweight tripod designed for smartphone photography.,29.99,84
191,Chili Lime Seasoning,Food - Spices,Zesty seasoning great for tacos and grilling.,2.99,53
192,Self-Watering Planter,Garden,Planter with self-watering feature for easy plant care.,24.99,93
193,Garden Hose Reel,Garden,Compact hose reel to keep your garden tidy.,49.99,2
194,Toy Building Set,Toys,Creative building set for kids to spark imagination.,29.99,9
195,Mini Projector,Electronics,Portable projector with 1080p resolution for movies.,169.99,3
196,Digital Food Scale,Kitchen,Precision digital scale for accurate cooking measurements.,22.99,81
197,Suede Ankle Booties,Clothing - Footwear,"Chic suede ankle booties, perfect for dressing up or down.",79.99,38
198,Bluetooth Sleep Headphones,Audio,Comfortable wireless headphones designed for sleeping.,29.99,6
199,Sesame Noodles,Food - Grab-and-Go,"Chilled noodles dressed in sesame sauce, ready to eat.",5.99,89
200,Brownie Bites,Food - Baked Goods,"Fudgy brownie bites, perfect for sharing or snacking.",4.99,75
201,Lentil Vegetable Stew,Food - Canned Soups,"Hearty stew made with lentils and mixed vegetables, vegan-friendly.",4.49,84
202,Hot Salsa,Food - Dips,Spicy salsa made with fresh ingredients.,2.29,73
203,Self-Watering Planters,Garden,Planters with a self-watering feature for easy care.,49.99,11
204,Cabbage,Food - Produce,"Fresh green cabbage, great for salads and slaws.",1.29,34
205,Pumpkin Spice Muffins,Food - Bakery,Moist and flavorful muffins packed with fall spices and pumpkin puree.,3.99,43
206,Vegetable and Cheese Quesadillas,Food - Frozen,Flour tortilla filled with cheese and a medley of vegetables.,6.99,75
207,Mini Food Processor,Kitchen,Compact food processor for quick meal prep.,39.99,41
208,Car Vacuum,Automotive,Portable car vacuum cleaner with strong suction.,49.99,91
209,Maple Pecan Granola,Food - Breakfast,"Crunchy granola with maple syrup and pecans, great for breakfast or snacking.",4.49,52
210,Organic Honeycrisp Apples,Food - Fruits,"Sweet and crisp apples, perfect for snacking.",1.99,86
211,Outdoor Adventure Backpack,Outdoor,Durable backpack for hiking or travel.,59.99,73
212,Mediterranean Couscous,Food - Grains,"Flavored couscous with herbs and spices, perfect as a side dish or a base for salads.",3.59,70
213,Vegetable Fried Rice Mix,Food - Frozen Food,A quick and easy fried rice mix with colorful veggies and savory seasoning.,3.99,25
214,Dark Chocolate Covered Raisins,Food - Snacks,Satisfy your sweet tooth with these dark chocolate-covered raisins.,3.99,74
215,Beard Grooming Kit,Grooming,Everything you need for maintaining a healthy beard.,34.99,28
216,Bluetooth Car Adapter,Automotive,Connect your phone to the car's audio system via Bluetooth.,24.99,11
217,Electric Rice Cooker,Kitchen,Multi-function rice cooker for all types of rice recipes.,39.99,13
218,Coconut Milk Ice Cream,Food - Frozen Desserts,"Dairy-free ice cream made with coconut milk, creamy and delicious.",6.99,53
219,Under Desk Footrest,Office,Adjustable footrest for improved comfort while sitting.,29.99,63
220,Vegetable Curry,Food - Frozen Foods,A hearty vegetable curry for a quick and satisfying meal.,5.99,81
221,Watering Can with Nozzle,Garden,Stylish watering can for plants with easy pouring nozzle.,19.99,33
222,Compact Umbrella,Accessories,Portable and lightweight umbrella for protection from rain.,12.99,6
223,Ginger Turmeric Shots,Food - Beverages,Ready-to-drink shots made with fresh ginger and turmeric.,3.99,82
224,Chili Beans in Sauce,Food - Canned Goods,Canned beans cooked in a savory chili sauce,1.79,5
225,Crispy Rice Treats,Food - Snacks,Classic marshmallow treats made with crispy rice.,3.5,43
226,Free-Range Eggs,Food - Dairy,Fresh eggs from free-range chickens.,3.99,41
227,Ground Cinnamon,Food - Spices,Freshly ground cinnamon spice for baking or seasoning.,1.99,56
228,Salsa Verde,Food - Condiments,"Tangy green salsa made with tomatillos, perfect for tacos.",3.49,62
229,Beef Stew Meat,Food - Meat,Tender beef chunks for slow-cooked stews.,5.99,89
230,Portable Grill Cover,Outdoor,Durable cover to protect your grill from the elements.,24.99,45
231,Infrared Space Heater,Home Appliances,Energy-efficient infrared heater for home use.,99.99,28
232,Bicycle Lock,Bicycles,Heavy-duty bicycle lock for security.,29.99,75
233,Roasted Vegetable Medley,Food - Frozen Foods,A mix of frozen roasted vegetables for an easy side dish.,3.99,73
234,Body Wash,Beauty,Moisturizing body wash with natural ingredients.,12.99,12
235,Bike Repair Tool Kit,Outdoor,Essential tools for bike maintenance and repair.,29.99,83
236,Mango Chunks,Food - Frozen Fruits,Frozen mango chunks for smoothies or snacking.,4.89,1
237,Italian Herbal Seasoning,Food - Spices,A fragrant blend of Italian herbs for pasta sauces and marinades.,1.99,26
238,Cinnamon Roll Protein Bar,Food - Snacks,Soft and chewy bar packed with protein and cinnamon flavors.,2.99,87
239,Scented Candles,Home,Set of three aromatic candles with various scents.,19.99,62
240,Magnetic Chess Set,Toys,Portable chess set with magnetic pieces for travel.,19.99,100
241,Vegan Caesar Dressing,Food - Condiments,"Creamy vegan dressing made with cashews, perfect for salads.",3.99,58
242,Bamboo Memory Foam Pillow,Home,Ergonomically designed pillow with breathable bamboo cover.,34.99,38
243,Chicken Broth,Food - Canned Goods,"Rich and flavorful chicken broth, great for soups.",2.49,92
244,Puzzle Mat,Toys,Foldable mat for jigsaw puzzle assembly.,22.99,87
245,Electric Pressure Washer,Home Improvement,Powerful electric pressure washer for deep cleaning.,199.99,55
246,Homestyle Beef Stew,Food - Canned Soups,"Hearty beef stew with vegetables, ready to heat and serve.",7.99,20
247,Pressure Washer Accessories Kit,Home Improvement,Essential attachments for pressure washing.,39.99,3
248,Pressure Washer Accessories Kit,Home Improvement,Essential attachments for pressure washing.,39.99,73
249,Coconut Chia Seed Pudding,Food - Snacks,"Ready-to-eat chia seed pudding made with coconut milk, perfect for breakfast or dessert.",2.99,20
250,Tailored Blazer,Clothing - Outerwear,Sharp tailored blazer perfect for office wear and professional events.,99.99,2
251,Banana Chips,Food - Snacks,"Crunchy and sweet banana chips, a great on-the-go snack.",1.99,72
252,Soft Plush Throw Blanket,Home,Cozy throw blanket perfect for chilly evenings.,29.99,97
253,Interactive Robot Toy,Toys,Fun robot that engages kids with games and activities.,34.99,3
254,Portable Ice Maker,Kitchen,Compact ice maker for creating ice at home or in offices.,199.99,28
255,Robot Vacuum Cleaner,Home Appliances,Smart robotic vacuum for automatic cleaning.,299.99,13
256,Travel Jewelry Case,Accessories,Portable case to organize and protect jewelry on trips.,24.99,58
257,Decorative Wall Tapestry,Home,Colorful tapestry to add charm to any room.,34.99,65
258,Fitness Smartwatch,Wearable Tech,Multifunctional smartwatch for fitness tracking.,99.99,95
259,Solar Charger,Electronics,Portable solar charger for outdoor adventures.,39.99,34
260,Caraway Rye Bread,Food - Bakery,Artisan bread with caraway seeds for added flavor.,4.79,26
261,Nut Mix,Food - Snacks,A blend of mixed nuts for snacking.,5.99,60
262,Sports Water Bottle with Infuser,Fitness,Bottle that allows you to infuse your water with fruits.,19.99,32
263,Pumpkin Puree,Food - Canned Goods,"Canned pumpkin puree, perfect for pies and soups.",2.99,84
264,Adjustable Pedicure Footrest,Beauty,Ergonomic footrest for easier pedicure treatment.,39.99,45
265,Mini Projector for Smartphones,Electronics,Compact and portable projector for watching videos anywhere.,99.99,54
266,Honey mustard chicken tenders,Food - Meat,Golden crispy chicken tenders coated with honey mustard flavor.,7.99,90
267,Apple Cinnamon Instant Oatmeal,Food - Cereal,"Quick oatmeal packets infused with apple and cinnamon, perfect for breakfast.",3.49,53
268,Banana Peanut Butter Smoothie,Food - Frozen Foods,Frozen smoothie mix with bananas and peanut butter for a quick drink.,5.49,23
269,Cable Knit Cardigan,Clothing - Outerwear,Cozy cable knit cardigan to layer during chilly evenings.,49.99,6
270,Travel Makeup Organizer,Beauty,Compact organizer for cosmetics during travel.,25.99,48
271,Baked Potato Chips,Food - Snacks,"Light and crispy baked chips, a healthier snack option.",2.49,63
272,Avocados,Food - Produce,"Fresh, creamy avocados ideal for salads and guacamole.",1.5,50
273,Vegetable Stock,Food - Cooking Essentials,Rich vegetable stock for cooking soups and stews.,2.49,88
274,Savory Snack Mix,Food - Snacks,"A mix of nuts, pretzels, and crackers, seasoned just right for snacking.",4.49,8
275,Beef Jerky,Food - Snacks,"Savory, protein-rich beef jerky for on-the-go snacking.",5.99,95
276,Personalized Pet ID Tags,Pets,Custom engraved ID tags for pets with your contact information.,9.99,65
277,Kids' Educational Tablet,Electronics,Learning tablet with kid-friendly educational apps.,129.99,57
278,Chocolate Peanut Butter Cups,Food - Snacks,Delicious dark chocolate cups filled with creamy peanut butter.,2.29,44
279,Shoe Organizer,Home,Vertical shoe rack for saving closet space.,39.99,32
280,Kitchen Scale,Kitchen,Digital scale for precise cooking measurements.,19.99,96
281,Fall-Themed Table Runner,Home,Decorative table runner perfect for autumn gatherings.,19.99,41
282,Skincare Set,Beauty,All-natural skincare set for daily use.,54.99,60
283,Spicy Thai Coconut Soup,Food - Soups,"A ready-to-eat soup with coconut milk, spices, and vegetables.",3.99,58
284,Stainless Steel Mixing Bowls,Kitchen,Set of versatile mixing bowls for cooking.,29.99,94
285,Travel Jewelry Organizer,Accessories,Compact storage for your jewelry while traveling.,19.99,25
286,Leather Wallet,Accessories,Genuine leather wallet with multiple compartments.,49.99,92
287,Rechargeable Electric Toothbrush,Health,Advanced electric toothbrush for effective cleaning.,49.99,87
288,Magnetic Whiteboard,Office,Reusable whiteboard for notes and reminders with magnetic backing.,34.99,23
289,Cold Brew Coffee Maker,Kitchen,Brews coffee with a smooth flavor without bitterness.,34.99,3
290,Mashed Sweet Potatoes,Food - Sides,Creamy mashed sweet potatoes with a hint of cinnamon.,3.99,47
291,Classic Caesar Salad Kit,Food - Salads,Everything you need for a fresh and delicious Caesar salad.,4.99,11
